inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u2/u1_u6_g1901,OAI21xp5_ASAP7_75t_SL,309.384,376.776,43.27,,
u2/uk_K_r0_reg\[36\],,,,43.27,40.02,-3.25
u0/g14167,INVx1_ASAP7_75t_SL,172.872,149.976,43.27,,
u0/u15_u4_g2308,XNOR2xp5_ASAP7_75t_SL,160.992,166.176,43.27,39.96,-3.31
u1/u13_u0_g1996,OAI211xp5_ASAP7_75t_SL,274.608,237.456,43.27,46.18,2.91
u0/u13_u0_g2050,NAND2xp5_ASAP7_75t_SL,181.512,137.016,43.26,,
u0/u14_u0_g2034,INVx1_ASAP7_75t_SL,152.568,140.256,43.26,42.58,-0.68
u1/FE_PHC1550_uk_K_r2_48,HB3xp67_ASAP7_75t_SL,121.464,222.336,43.26,47.79,4.53
u1/g30818,NAND2xp5_ASAP7_75t_SL,106.128,249.336,43.26,47.39,4.13
u0/u14_u4_g2278,AND5x1_ASAP7_75t_SL,181.296,151.056,43.26,42.66,-0.6
u2/FE_PHC8021_desIn_r_11,HB1xp67_ASAP7_75t_SL,280.224,335.736,43.26,43.29,0.03
u1/u4_u2_g2043,NAND2xp5_ASAP7_75t_SL,108.288,227.736,43.26,47.24,3.98
u1/g15961,AOI22xp5_ASAP7_75t_SL,262.944,239.616,43.26,46.49,3.23
u1/g18074,OAI22xp5_ASAP7_75t_SL,103.32,197.496,43.26,45.66,2.4
u0/u15_u0_g2042,AOI21xp5_ASAP7_75t_SL,151.704,142.416,43.26,42.74,-0.52
u1/FE_PHC3264_R8_26,HB2xp67_ASAP7_75t_SL,200.736,292.536,43.26,47.31,4.05
u2/uk_K_r4_reg\[44\],,,,43.26,40.43,-2.83
u1/uk_K_r11_reg\[20\],,,,43.26,47.82,4.56
u2/u4_u6_g1905,AOI22xp5_ASAP7_75t_SL,321.696,255.816,43.26,,
