signal_name,scope,width,x_um,y_um,source_type,cell_type
FE_PHN1057_key_c_r_23_14,test.u0,1,131.184,349.776,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1058_key_c_r_4_6,test.u0,1,46.944,214.776,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1059_uk_K_r7_44,test.u0.u2,1,291.672,166.176,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN105_stage1_out_28,test.u0.u1,1,171.792,189.936,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN1060_key_c_r_1_44,test.u0,1,12.168,336.816,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1061_key_b_r_1_45,test.u0,1,16.056,280.656,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1062_key_c_r_17_37,test.u0,1,86.256,363.816,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1063_key_c_r_9_52,test.u0,1,27.936,370.296,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1064_key_c_r_10_45,test.u0,1,36.576,370.296,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1065_key_c_r_9_42,test.u0,1,40.032,360.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1066_key_c_r_8_44,test.u0,1,41.328,360.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1067_key_c_r_8_54,test.u0,1,38.736,357.336,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1068_key_c_r_7_44,test.u0,1,35.496,357.336,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1069_key_c_r_15_16,test.u0,1,80.424,331.416,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN106_R11_32,test.u0.u0,1,226.224,156.456,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1070_key_c_r_9_31,test.u0,1,41.976,338.976,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1071_uk_K_r0_13,test.u0.u0,1,46.944,46.296,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1072_uk_K_r7_17,test.u0.u2,1,345.888,144.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1073_key_b_r_11_15,test.u0,1,45.216,218.016,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1074_key_c_r_10_16,test.u0,1,48.672,323.856,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1075_key_c_r_13_40,test.u0,1,63.144,356.256,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1076_key_b_r_6_47,test.u0,1,44.784,252.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1077_key_b_r_9_46,test.u0,1,39.168,237.456,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1078_key_c_r_4_12,test.u0,1,40.248,242.856,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1079_key_c_r_1_7,test.u0,1,21.024,148.896,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN107_R9_10,test.u0.u1,1,219.312,234.216,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1080_uk_K_r11_6,test.u0.u1,1,251.064,232.056,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1081_key_c_r_26_55,test.u0,1,149.112,356.256,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1082_key_c_r_3_21,test.u0,1,35.064,248.256,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1083_key_c_r_1_54,test.u0,1,11.088,332.496,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1084_key_b_r_1_55,test.u0,1,9.36,295.776,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1085_key_c_r_18_48,test.u0,1,93.384,368.136,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1086_key_c_r_18_53,test.u0,1,93.384,361.656,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1087_key_c_r_11_47,test.u0,1,28.152,377.856,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1088_key_c_r_8_46,test.u0,1,40.032,351.936,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1089_key_c_r_8_53,test.u0,1,37.44,357.336,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN108_stage1_out_56,test.u0.u1,1,169.632,186.696,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN1090_key_c_r_33_44,test.u0,1,235.512,374.616,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1091_key_c_r_19_55,test.u0,1,94.68,361.656,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1092_uk_K_r2_7,test.u0.u0,1,99.216,86.256,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1093_key_c_r_15_21,test.u0,1,73.296,332.496,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1094_key_c_r_9_34,test.u0,1,41.76,345.456,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1095_key_c_r_10_32,test.u0,1,43.272,338.976,net_driver,HB3xp67_ASAP7_75t_SL
